"","X.1","zone","Minute","Result","X","Y","player","h_a","situation","shotType","domVSnondom","Opponent","playerAssist","typeOfAssist","sideOfAttack","PossesionWon","typeOfAttack","year","goals.x","goals.y","sideOfAttackGrouped","Team","Game","GK","net_x","net_y","PSxG","datetime_added"
"19",19,1,58,"SAVED",114.48,37.21,"PLAYER 16","HOME","FREEKICK","RIGHTFOOT","","OPPONENT 13","","OTHER","MIDDLE","MIDDLE","LONG BALL",2022,0,0.465230712113513,"MIDDLE","OPPONENT","2022 - OPPONENT 13 - HOME","GK",-4.03,6.78,0.01,NA
"20",20,1,79,"GOAL",5.08,39.06,"PLAYER 23","HOME","FREEKICK","LEFTFOOT","NONDOMINANT","OPPONENT 12","","","RIGHT","OFFENSIVE","RESTART",2022,1,0.47721005131864,"SIDE","TEAM","2022 - OPPONENT 12 - HOME","GK",-9.65,4.12,0.94867184641382,NA
"21",21,1,72,"GOAL",117.72,42.94,"PLAYER 16","HOME","OPENPLAY","LEFTFOOT","","OPPONENT 7","","CROSSONGROUND","RIGHT","DEFENSIVE","POSSESSION",2022,1,0.321412941602822,"SIDE","OPPONENT","2022 - OPPONENT 7 - HOME","GK",-6.27,5.4,0.01,NA
"22",22,2,21,"SAVED",114.92,31.76,"PLAYER 16","AWAY","CORNER","HEADER","","OPPONENT 5","","CROSSINAIR","LEFT","OFFENSIVE","RESTART",2022,0,0.288815377956866,"SIDE","OPPONENT","2022 - OPPONENT 5 - AWAY","GK",5.6,6.6,0.01,NA
"23",23,2,78,"SAVED",4.15,31.76,"PLAYER 24","HOME","THROW-IN","HEADER","*","OPPONENT 12","LOCKE","THROW-IN","LEFT","OFFENSIVE","THROW-IN",2022,0,0.301230048364795,"SIDE","TEAM","2022 - OPPONENT 12 - HOME","GK",4.36,1.06,0.935805728029962,NA
"24",24,2,6,"MISSED",4.4,46.51,"PLAYER 24","HOME","CORNER","HEADER","","OPPONENT 8","KING","CROSSINAIR","LEFT","OFFENSIVE","RESTART",2022,0,0.178182352855145,"SIDE","TEAM","2022 - OPPONENT 8 - HOME","GK",10.82,10.99,0.961418520846702,NA
"25",25,2,86,"MISSED",114.63,45.88,"PLAYER 16","AWAY","THROW-IN","HEADER","","OPPONENT 9","","THROW-IN","LEFT","OFFENSIVE","THROW-IN",2022,0,0.194120811818171,"SIDE","OPPONENT","2022 - OPPONENT 9 - AWAY","GK",3.77,10.75,0.01,NA
"26",26,2,5,"MISSED",5.04,45.73,"PLAYER 6","HOME","CORNER","HEADER","*","OPPONENT 11","KING","CROSSINAIR","LEFT","OFFENSIVE","RESTART",2022,0,0.198760857709015,"SIDE","TEAM","2022 - OPPONENT 11 - HOME","GK",15.76,9.76,0.956165130122081,NA
"27",27,2,9,"MISSED",3.92,33.65,"PLAYER 2","AWAY","CORNER","RIGHTVOLLEY","DOMINANT","OPPONENT 9","","CROSSINAIR","LEFT","OFFENSIVE","RESTART",2022,0,0.434265361016714,"SIDE","TEAM","2022 - OPPONENT 9 - AWAY","GK",9.9,9.02,0.01,NA
"28",28,2,74,"MISSED",116.29,32.74,"PLAYER 16","AWAY","CORNER","HEADER","","OPPONENT 9","","CROSSINAIR","LEFT","OFFENSIVE","RESTART",2022,0,0.372606567491051,"SIDE","OPPONENT","2022 - OPPONENT 9 - AWAY","GK",-2.57,10.24,0.01,NA
"29",29,2,18,"SAVED",4.89,48.08,"PLAYER 6","HOME","FREEKICK","HEADER","*","OPPONENT 10","W. SHAFFER","CROSSINAIR","MIDDLE","MIDDLE","RESTART",2022,0,0.1475657494541,"MIDDLE","TEAM","2022 - OPPONENT 10 - HOME","GK",-6.65,4.05,0.944179569904404,NA
"30",30,2,15,"GOAL",5.33,50.13,"PLAYER 10","HOME","OPENPLAY","HEADER","*","OPPONENT 7","KERN","CROSSINAIR","LEFT","DEFENSIVE","POSSESSION",2022,1,0.11868335124933,"SIDE","TEAM","2022 - OPPONENT 7 - HOME","GK",9.12,2.07,0.01,NA
"31",31,2,17,"SAVED",114.59,50.53,"PLAYER 16","AWAY","CORNER","HEADER","","OPPONENT 4","","CROSSINAIR","RIGHT","MIDDLE","RESTART",2022,0,0.11404560400301,"SIDE","OPPONENT","2022 - OPPONENT 4 - AWAY","GK",-2.25,4.84,0.01,NA
"32",32,2,33,"MISSED",4.17,48.52,"PLAYER 24","HOME","CORNER","RIGHTVOLLEY","DOMINANT","OPPONENT 3","","","RIGHT","OFFENSIVE","RESTART",2022,0,0.138910604860523,"SIDE","TEAM","2022 - OPPONENT 3 - HOME","GK",4.11,10.29,0.01,NA
"33",33,2,48,"BLOCKED",117.5,49.74,"PLAYER 16","AWAY","OPENPLAY","RIGHTFOOT","","OPPONENT 2","","CROSSINAIR","LEFT","OFFENSIVE","RESTART",2022,0,0.116168905007311,"SIDE","OPPONENT","2022 - OPPONENT 2 - AWAY","GK",NA,NA,0.942638959639485,NA
"34",34,2,62,"GOAL",4.07,34.54,"PLAYER 18","HOME","OPENPLAY","RIGHTFOOT","DOMINANT","OPPONENT 1","KERN","CROSSONGROUND","LEFT","DEFENSIVE","POSSESSION",2022,1,0.486899757212868,"SIDE","TEAM","2022 - OPPONENT 1 - HOME","GK",-8.16,0.61,0.907359021344267,NA
"35",35,2,58,"BLOCKED",114.82,33.13,"PLAYER 16","HOME","OPENPLAY","RIGHTFOOT","","OPPONENT 13","","CROSSONGROUND","RIGHT","MIDDLE","RESTART",2022,0,0.352560399977613,"SIDE","OPPONENT","2022 - OPPONENT 13 - HOME","GK",NA,NA,0.959452331654374,NA
"36",36,2,34,"BLOCKED",117.81,47.26,"PLAYER 16","AWAY","OPENPLAY","RIGHTFOOT","","OPPONENT 4","","","LEFT","DEFENSIVE","LONG BALL",2022,0,0.147591225975262,"SIDE","OPPONENT","2022 - OPPONENT 4 - AWAY","GK",NA,NA,0.01,NA
"37",37,2,107,"SAVED",4.33,31.63,"PLAYER 20","HOME","CORNER","RIGHTFOOT","DOMINANT","OPPONENT 14","","CROSSINAIR","RIGHT","OFFENSIVE","RESTART",2022,0,0.292370760004411,"SIDE","TEAM","2022 - OPPONENT 14 - HOME","GK",-3.94,5.92,0.01,NA
"38",38,2,76,"MISSED",6.17,51.87,"PLAYER 1","HOME","OPENPLAY","RIGHTFOOT","DOMINANT","OPPONENT 8","PARKER","CROSSONGROUND","RIGHT","OFFENSIVE","COUNTER",2022,0,0.100122782915839,"SIDE","TEAM","2022 - OPPONENT 8 - HOME","GK",5.11,11.23,0.957913109608021,NA
"39",39,3,37,"MISSED",11.11,34.59,"PLAYER 2","HOME","OPENPLAY","HEADER","*","OPPONENT 12","J. GRANT","CROSSINAIR","RIGHT","DEFENSIVE","POSSESSION",2022,0,0.208542703892056,"SIDE","TEAM","2022 - OPPONENT 12 - HOME","GK",17.65,9.63,0.01,NA
"40",40,3,68,"MISSED",112.69,46.56,"PLAYER 16","AWAY","THROW-IN","HEADER","","OPPONENT 14","","THROW-IN","LEFT","OFFENSIVE","THROW-IN",2022,0,0.170053208584129,"SIDE","OPPONENT","2022 - OPPONENT 14 - AWAY","GK",17.82,7.31,0.01,NA
"41",41,3,79,"BLOCKED",13.98,46.19,"PLAYER 8","AWAY","CORNER","LEFTVOLLEY","NONDOMINANT","OPPONENT 9","","","RIGHT","OFFENSIVE","RESTART",2022,0,0.117036602028611,"SIDE","TEAM","2022 - OPPONENT 9 - AWAY","GK",NA,NA,0.896669896510358,NA
"42",42,3,26,"SAVED",6.78,42.5,"PLAYER 6","HOME","CORNER","HEADER","","OPPONENT 8","KING","CROSSINAIR","RIGHT","OFFENSIVE","RESTART",2022,0,0.28100785276939,"SIDE","TEAM","2022 - OPPONENT 8 - HOME","GK",-10.76,4.31,0.947809675422826,NA
"43",43,3,41,"MISSED",11.78,43.55,"PLAYER 12","AWAY","CORNER","HEADER","","OPPONENT 13","","CROSSINAIR","RIGHT","OFFENSIVE","RESTART",2022,0,0.165397799449092,"SIDE","TEAM","2022 - OPPONENT 13 - AWAY","GK",-17.59,11.09,0.01,NA
"44",44,3,29,"MISSED",8.19,31.95,"PLAYER 9","HOME","THROW-IN","HEADER","*","OPPONENT 1","W. SHAFFER","CROSSINAIR","RIGHT","OFFENSIVE","THROW-IN",2022,0,0.234759818440679,"SIDE","TEAM","2022 - OPPONENT 1 - HOME","GK",-9.33,9.63,0.893946826818321,NA
"45",45,3,60,"BLOCKED",16.64,30.45,"PLAYER 15","HOME","THROW-IN","LEFTVOLLEY","DOMINANT","OPPONENT 3","","","RIGHT","OFFENSIVE","THROW-IN",2022,0,0.103414460507916,"SIDE","TEAM","2022 - OPPONENT 3 - HOME","GK",NA,NA,0.924779224721845,NA
"46",46,3,15,"BLOCKED",16.92,46.35,"PLAYER 6","AWAY","OPENPLAY","RIGHTVOLLEY","DOMINANT","OPPONENT 5","ZEBRAK","OTHER","MIDDLE","MIDDLE","LONG BALL",2022,0,0.0925291541713106,"MIDDLE","TEAM","2022 - OPPONENT 5 - AWAY","GK",NA,NA,0.01,NA
"47",47,3,88,"MISSED",11.18,47.92,"PLAYER 20","HOME","OPENPLAY","HEADER","","OPPONENT 6","","CROSSINAIR","LEFT","DEFENSIVE","RESTART",2022,0,0.124052390793362,"SIDE","TEAM","2022 - OPPONENT 6 - HOME","GK",-17.2,5.94,0.965140274796191,NA
"48",48,3,52,"MISSED",6.74,32.14,"PLAYER 24","AWAY","OPENPLAY","HEADER","","OPPONENT 4","W. SHAFFER","CROSSINAIR","MIDDLE","MIDDLE","RESTART",2022,0,0.270559748220678,"MIDDLE","TEAM","2022 - OPPONENT 4 - AWAY","GK",-10.57,10.3,0.934544660346052,NA
"49",49,3,48,"SAVED",109.33,41.04,"PLAYER 16","AWAY","OPENPLAY","HEADER","","OPPONENT 4","","CROSSINAIR","LEFT","OFFENSIVE","RESTART",2022,0,0.212581010479083,"SIDE","OPPONENT","2022 - OPPONENT 4 - AWAY","GK",-9.84,5.33,0.01,NA
"50",50,3,44,"MISSED",8.56,42.35,"PLAYER 19","HOME","FREEKICK","HEADER","*","OPPONENT 12","GERVERS","LONG BALL","MIDDLE","MIDDLE","RESTART",2022,0,0.241699386767452,"MIDDLE","TEAM","2022 - OPPONENT 12 - HOME","GK",2.13,10.06,0.01,NA
"51",51,3,33,"SAVED",9.1,45.88,"PLAYER 10","HOME","CORNER","RIGHTVOLLEY","DOMINANT","OPPONENT 3","","","RIGHT","OFFENSIVE","RESTART",2022,0,0.167471732327302,"SIDE","TEAM","2022 - OPPONENT 3 - HOME","GK",-1.13,5.15,0.951471599752499,NA
"52",52,3,19,"MISSED",113.88,45.81,"PLAYER 16","HOME","FREEKICK","HEADER","","OPPONENT 13","","CROSSINAIR","RIGHT","OFFENSIVE","RESTART",2022,0,0.193004252290917,"SIDE","OPPONENT","2022 - OPPONENT 13 - HOME","GK",-15.49,1.34,0.949104186512085,NA
"53",53,3,30,"MISSED",7.67,43.75,"PLAYER 24","HOME","FREEKICK","HEADER","","OPPONENT 8","FIRESTONE","CROSSINAIR","LEFT","MIDDLE","RESTART",2022,0,0.227959572033417,"SIDE","TEAM","2022 - OPPONENT 8 - HOME","GK",-8.56,9.16,0.01,NA
"54",54,3,4,"GOAL",14.6,48,"PLAYER 17","AWAY","FREEKICK","HEADER","*","OPPONENT 5","W. SHAFFER","CROSSINAIR","LEFT","MIDDLE","RESTART",2022,1,0.0994844775391007,"SIDE","TEAM","2022 - OPPONENT 5 - AWAY","GK",-6.83,0.36,0.01,NA
"55",55,3,19,"GOAL",112.79,40.73,"PLAYER 16","HOME","CORNER","HEADER","","OPPONENT 7","","CROSSINAIR","RIGHT","OFFENSIVE","RESTART",2022,1,0.318597598124351,"SIDE","OPPONENT","2022 - OPPONENT 7 - HOME","GK",2.98,0.43,0.01,NA
"56",56,3,12,"MISSED",6.75,34.21,"PLAYER 20","HOME","OPENPLAY","HEADER","*","OPPONENT 7","SUNDERMANN","CROSSINAIR","RIGHT","OFFENSIVE","RESTART",2022,0,0.334843430783159,"SIDE","TEAM","2022 - OPPONENT 7 - HOME","GK",-5.88,10.88,0.01,NA
"57",57,3,72,"MISSED",109.6,42.06,"PLAYER 16","HOME","CORNER","HEADER","","OPPONENT 10","","CROSSINAIR","RIGHT","OFFENSIVE","RESTART",2022,0,0.206421984409906,"SIDE","OPPONENT","2022 - OPPONENT 10 - HOME","GK",-6.79,8.75,0.908029736890882,NA
"58",58,3,105,"MISSED",112.39,46.87,"PLAYER 16","AWAY","OPENPLAY","HEADER","","OPPONENT 14","","CROSSINAIR","RIGHT","MIDDLE","RESTART",2022,0,0.162590607622933,"SIDE","OPPONENT","2022 - OPPONENT 14 - AWAY","GK",16.47,3.94,0.918373328065435,NA
"59",59,3,65,"GOAL",7.07,41.18,"PLAYER 18","HOME","OPENPLAY","HEADER","*","OPPONENT 3","SOMMERFELD","OTHER","MIDDLE","OFFENSIVE","DEFLECTED SHOT",2022,1,0.311894214523839,"MIDDLE","TEAM","2022 - OPPONENT 3 - HOME","GK",1.83,2.98,0.01,NA
"60",60,3,75,"MISSED",9.82,40.88,"PLAYER 19","HOME","CORNER","HEADER","*","OPPONENT 3","PARKER","CROSSINAIR","RIGHT","OFFENSIVE","RESTART",2022,0,0.234729402139123,"SIDE","TEAM","2022 - OPPONENT 3 - HOME","GK",-7.71,11.09,0.942625855455892,NA
"61",61,3,78,"MISSED",12.14,43.23,"PLAYER 19","HOME","FREEKICK","HEADER","*","OPPONENT 3","KING","CROSSINAIR","RIGHT","MIDDLE","RESTART",2022,0,0.163415152876498,"SIDE","TEAM","2022 - OPPONENT 3 - HOME","GK",16.81,0.3,0.962171203868928,NA
"62",62,3,84,"MISSED",15.7,43.6,"PLAYER 3","AWAY","OPENPLAY","RIGHTVOLLEY","DOMINANT","OPPONENT 2","KERN","CROSSINAIR","RIGHT","MIDDLE","LONG BALL",2022,0,0.117011188546417,"SIDE","TEAM","2022 - OPPONENT 2 - AWAY","GK",-16.33,5.61,0.952944049456562,NA
"63",63,3,78,"MISSED",101.66,45.06,"PLAYER 16","AWAY","CORNER","LEFTVOLLEY","","OPPONENT 2","","","MIDDLE","OFFENSIVE","RESTART",2022,0,0.087692407090861,"MIDDLE","OPPONENT","2022 - OPPONENT 2 - AWAY","GK",-9.18,8.43,0.941767774285025,NA
"64",64,3,77,"SAVED",104.81,42.2,"PLAYER 16","HOME","FREEKICK","HEADER","","OPPONENT 7","","CROSSINAIR","RIGHT","MIDDLE","RESTART",2022,0,0.129754040953955,"SIDE","OPPONENT","2022 - OPPONENT 7 - HOME","GK",-8.53,0.03,0.01,NA
"65",65,3,88,"MISSED",108.45,43.6,"PLAYER 16","AWAY","CORNER","HEADER","","OPPONENT 2","","CROSSINAIR","RIGHT","OFFENSIVE","RESTART",2022,0,0.168184953006749,"SIDE","OPPONENT","2022 - OPPONENT 2 - AWAY","GK",-9.55,9.55,0.01,NA
"66",66,3,106,"BLOCKED",9.1,30.72,"PLAYER 24","HOME","CORNER","HEADER","","OPPONENT 6","","CROSSINAIR","RIGHT","OFFENSIVE","RESTART",2022,0,0.19466367511802,"SIDE","TEAM","2022 - OPPONENT 6 - HOME","GK",NA,NA,0.940239740529752,NA
"67",67,3,70,"MISSED",8.77,37.03,"PLAYER 3","HOME","CORNER","HEADER","","OPPONENT 8","MARSHALL","CROSSINAIR","RIGHT","OFFENSIVE","RESTART",2022,0,0.293641993720828,"SIDE","TEAM","2022 - OPPONENT 8 - HOME","GK",-2.41,10.59,0.923026198251941,NA
"68",68,3,22,"SAVED",7.07,38.09,"PLAYER 24","HOME","CORNER","HEADER","*","OPPONENT 7","W. SHAFFER","CROSSINAIR","RIGHT","OFFENSIVE","RESTART",2022,0,0.368818691384265,"SIDE","TEAM","2022 - OPPONENT 7 - HOME","GK",7.11,0.66,0.01,NA
"69",69,3,20,"SAVED",17.56,41.72,"PLAYER 9","HOME","CORNER","HEADER","*","OPPONENT 1","OSCHNER","CROSSINAIR","MIDDLE","OFFENSIVE","RESTART",2022,0,0.105792670456107,"MIDDLE","TEAM","2022 - OPPONENT 1 - HOME","GK",-3.31,0.8,0.01,NA
"70",70,3,60,"SAVED",109.58,49.41,"PLAYER 16","AWAY","CORNER","HEADER","","OPPONENT 5","","CROSSINAIR","RIGHT","OFFENSIVE","RESTART",2022,0,0.113447041718261,"SIDE","OPPONENT","2022 - OPPONENT 5 - AWAY","GK",-0.14,3.46,0.01,NA
"71",71,3,29,"BLOCKED",8.43,43.21,"PLAYER 8","AWAY","OPENPLAY","HEADER","","OPPONENT 2","PARKER","CROSSINAIR","RIGHT","OFFENSIVE","COUNTER",2022,0,0.226586125205981,"SIDE","TEAM","2022 - OPPONENT 2 - AWAY","GK",NA,NA,0.01,NA
"72",72,3,75,"BLOCKED",110.5,46.38,"PLAYER 16","AWAY","OPENPLAY","RIGHTVOLLEY","","OPPONENT 4","","CROSSINAIR","RIGHT","OFFENSIVE","RESTART",2022,0,0.156116561086147,"SIDE","OPPONENT","2022 - OPPONENT 4 - AWAY","GK",NA,NA,0.01,NA
"73",73,3,109,"MISSED",9.4,44.15,"PLAYER 22","HOME","FREEKICK","HEADER","","OPPONENT 14","","CROSSINAIR","RIGHT","MIDDLE","RESTART",2022,0,0.192522535425389,"SIDE","TEAM","2022 - OPPONENT 14 - HOME","GK",-12.27,8.26,0.01,NA
"74",74,3,78,"SAVED",107.58,39.85,"PLAYER 16","AWAY","PENALTYKICK","RIGHTFOOT","","OPPONENT 5","","","LEFT","MIDDLE","PENALTY",2022,0,0.184584915361526,"SIDE","OPPONENT","2022 - OPPONENT 5 - AWAY","GK",-3.77,0.29,0.01,NA
"75",75,3,54,"GOAL",102.9,33.62,"PLAYER 16","AWAY","OPENPLAY","RIGHTFOOT","","OPPONENT 4","","LONG BALL","RIGHT","MIDDLE","LONG BALL",2022,1,0.111434142681625,"SIDE","OPPONENT","2022 - OPPONENT 4 - AWAY","GK",-0.38,3.85,0.878980464996486,NA
"76",76,3,19,"MISSED",13.88,43.67,"PLAYER 21","HOME","OPENPLAY","RIGHTFOOT","DOMINANT","OPPONENT 3","KERN","CROSSONGROUND","RIGHT","DEFENSIVE","POSSESSION",2022,0,0.136761005882425,"SIDE","TEAM","2022 - OPPONENT 3 - HOME","GK",7.25,10.98,0.964441492778159,NA
"77",77,3,10,"SAVED",107.71,37.8,"PLAYER 16","HOME","OPENPLAY","RIGHTFOOT","","OPPONENT 3","","SHORT PASS","MIDDLE","OFFENSIVE","COUNTER",2022,0,0.193301126102641,"MIDDLE","OPPONENT","2022 - OPPONENT 3 - HOME","GK",5.17,6.83,0.01,NA
"78",78,3,74,"MISSED",100.4,46.3,"PLAYER 16","AWAY","OPENPLAY","RIGHTFOOT","","OPPONENT 2","","SHORT PASS","LEFT","MIDDLE","POSSESSION",2022,0,0.0749680382314989,"SIDE","OPPONENT","2022 - OPPONENT 2 - AWAY","GK",17.08,5.35,0.943814946690398,NA
"79",79,3,88,"GOAL",111.38,43.11,"PLAYER 16","AWAY","OPENPLAY","RIGHTFOOT","","OPPONENT 4","","CROSSONGROUND","MIDDLE","DEFENSIVE","POSSESSION",2022,1,0.224997427465925,"MIDDLE","OPPONENT","2022 - OPPONENT 4 - AWAY","GK",6.5,5.39,0.01,NA
"80",80,3,90,"GOAL",103.49,47.26,"PLAYER 16","AWAY","OPENPLAY","RIGHTFOOT","","OPPONENT 4","","","LEFT","MIDDLE","COUNTER",2022,1,0.0908432787681532,"SIDE","OPPONENT","2022 - OPPONENT 4 - AWAY","GK",-11.66,1.11,0.956128007953836,NA
"81",81,3,93,"MISSED",7.16,42.79,"PLAYER 9","HOME","OPENPLAY","RIGHTFOOT","DOMINANT","OPPONENT 6","","CROSSINAIR","RIGHT","OFFENSIVE","COUNTER",2022,0,0.263261199759379,"SIDE","TEAM","2022 - OPPONENT 6 - HOME","GK",13.28,2.54,0.01,NA
"82",82,3,22,"BLOCKED",11.13,50.28,"PLAYER 21","HOME","OPENPLAY","RIGHTFOOT","DOMINANT","OPPONENT 7","","","RIGHT","OFFENSIVE","COUNTER",2022,0,0.102008822648963,"SIDE","TEAM","2022 - OPPONENT 7 - HOME","GK",NA,NA,0.931460055119839,NA
"83",83,3,53,"GOAL",6.78,39.85,"PLAYER 22","HOME","THROW-IN","LEFTFOOT","DOMINANT","OPPONENT 10","SHELTON","SHORT PASS","RIGHT","OFFENSIVE","THROW-IN",2022,1,0.357921223710547,"SIDE","TEAM","2022 - OPPONENT 10 - HOME","GK",-5.89,2.52,0.951459972212668,NA
"84",84,3,49,"SAVED",16.35,31.63,"PLAYER 9","HOME","OPENPLAY","RIGHTFOOT","DOMINANT","OPPONENT 10","PARKER","SHORT PASS","RIGHT","DEFENSIVE","COUNTER",2022,0,0.111584075193478,"SIDE","TEAM","2022 - OPPONENT 10 - HOME","GK",6.32,2.5,0.939416523285465,NA
"85",85,3,24,"SAVED",7.4,35.06,"PLAYER 18","HOME","OPENPLAY","RIGHTFOOT","DOMINANT","OPPONENT 12","W. SHAFFER","CROSSINAIR","LEFT","MIDDLE","COUNTER",2022,0,0.328571031245146,"SIDE","TEAM","2022 - OPPONENT 12 - HOME","GK",-10.01,2.8,0.01,NA
"86",86,3,93,"BLOCKED",17.59,49.73,"PLAYER 18","HOME","OPENPLAY","LEFTFOOT","NONDOMINANT","OPPONENT 6","","LONG BALL","LEFT","DEFENSIVE","RESTART",2022,0,0.0727761867332613,"SIDE","TEAM","2022 - OPPONENT 6 - HOME","GK",NA,NA,0.01,NA
"87",87,3,12,"GOAL",105.83,46.97,"PLAYER 16","AWAY","CORNER","RIGHTFOOT","","OPPONENT 4","","","LEFT","OFFENSIVE","RESTART",2022,1,0.109735686790902,"SIDE","OPPONENT","2022 - OPPONENT 4 - AWAY","GK",-9.82,6.03,0.01,NA
"88",88,3,46,"SAVED",7.34,47.57,"PLAYER 23","AWAY","OPENPLAY","RIGHTFOOT","DOMINANT","OPPONENT 9","SHELTON","SHORT PASS","MIDDLE","OFFENSIVE","COUNTER",2022,0,0.152114401894254,"MIDDLE","TEAM","2022 - OPPONENT 9 - AWAY","GK",-0.53,1.74,0.93293603740402,NA
"89",89,3,20,"SAVED",15.29,33.65,"PLAYER 23","AWAY","OPENPLAY","RIGHTFOOT","DOMINANT","OPPONENT 9","KERN","SHORT PASS","LEFT","MIDDLE","COUNTER",2022,0,0.132339500009301,"SIDE","TEAM","2022 - OPPONENT 9 - AWAY","GK",10.69,3.29,0.01,NA
"90",90,3,30,"SAVED",14.01,45.17,"PLAYER 18","HOME","OPENPLAY","RIGHTFOOT","DOMINANT","OPPONENT 1","GOTTRON","CROSSONGROUND","MIDDLE","MIDDLE","COUNTER",2022,0,0.124359796611933,"MIDDLE","TEAM","2022 - OPPONENT 1 - HOME","GK",0.25,7.81,0.01,NA
"91",91,3,78,"GOAL",12.3,40,"PLAYER 9","HOME","PENALTYKICK","RIGHTFOOT","DOMINANT","OPPONENT 7","","","MIDDLE","OFFENSIVE","PENALTY",2022,1,0.18616641943991,"MIDDLE","TEAM","2022 - OPPONENT 7 - HOME","GK",1.57,7,0.01,NA
"92",92,3,85,"GOAL",6.78,36.03,"PLAYER 8","HOME","OPENPLAY","RIGHTFOOT","DOMINANT","OPPONENT 11","DUGGAN","CROSSONGROUND","MIDDLE","MIDDLE","COUNTER",2022,1,0.374776073657489,"MIDDLE","TEAM","2022 - OPPONENT 11 - HOME","GK",0.4,3.27,0.910588776688668,NA
"93",93,3,20,"SAVED",110.47,40.29,"PLAYER 16","HOME","OPENPLAY","RIGHTFOOT","","OPPONENT 10","","THROUGH BALL","LEFT","DEFENSIVE","POSSESSION",2022,0,0.249743359512859,"SIDE","OPPONENT","2022 - OPPONENT 10 - HOME","GK",0.71,3.56,0.01,NA
"94",94,3,57,"BLOCKED",108.07,38.57,"PLAYER 16","HOME","THROW-IN","RIGHTFOOT","","OPPONENT 13","","CROSSINAIR","RIGHT","DEFENSIVE","RESTART",2022,0,0.199885769274468,"SIDE","OPPONENT","2022 - OPPONENT 13 - HOME","GK",NA,NA,0.941770328963189,NA
"95",95,3,90,"BLOCKED",10.89,37.32,"PLAYER 12","AWAY","FREEKICK","RIGHTFOOT","DOMINANT","OPPONENT 13","","CROSSINAIR","LEFT","MIDDLE","RESTART",2022,0,0.226763232400729,"SIDE","TEAM","2022 - OPPONENT 13 - AWAY","GK",NA,NA,0.01,NA
"96",96,3,35,"SAVED",17.15,42.88,"PLAYER 3","HOME","OPENPLAY","RIGHTFOOT","DOMINANT","OPPONENT 8","GOTTRON","OTHER","MIDDLE","OFFENSIVE","COUNTER",2022,0,0.105865268858423,"MIDDLE","TEAM","2022 - OPPONENT 8 - HOME","GK",-10.36,2.37,0.913188075677132,NA
"97",97,3,78,"SAVED",10.05,30.91,"PLAYER 13","AWAY","OPENPLAY","RIGHTFOOT","DOMINANT","OPPONENT 9","PARKER","THROUGH BALL","MIDDLE","DEFENSIVE","COUNTER",2022,0,0.183886286590779,"MIDDLE","TEAM","2022 - OPPONENT 9 - AWAY","GK",4.74,7.54,0.01,NA
"98",98,3,75,"BLOCKED",17.74,33.29,"PLAYER 18","AWAY","OPENPLAY","RIGHTFOOT","DOMINANT","OPPONENT 13","","SHORT PASS","MIDDLE","OFFENSIVE","COUNTER",2022,0,0.104080253388213,"MIDDLE","TEAM","2022 - OPPONENT 13 - AWAY","GK",NA,NA,0.957996668496503,NA
"99",99,3,70,"SAVED",13.37,35.03,"PLAYER 13","AWAY","OPENPLAY","RIGHTFOOT","DOMINANT","OPPONENT 9","ISRAEL","OTHER","MIDDLE","MIDDLE","COUNTER",2022,0,0.166570390321684,"MIDDLE","TEAM","2022 - OPPONENT 9 - AWAY","GK",-3.43,3.82,0.933349508940216,NA
"100",100,3,55,"MISSED",9.09,37.86,"PLAYER 8","HOME","OPENPLAY","RIGHTFOOT","DOMINANT","OPPONENT 8","SOMMERFELD","CROSSONGROUND","LEFT","OFFENSIVE","COUNTER",2022,0,0.282108501666435,"SIDE","TEAM","2022 - OPPONENT 8 - HOME","GK",8,9,0.876557835278247,NA
"101",101,3,25,"MISSED",16.93,38.24,"PLAYER 21","HOME","OPENPLAY","LEFTFOOT","NONDOMINANT","OPPONENT 7","KING","CROSSINAIR","LEFT","OFFENSIVE","COUNTER",2022,0,0.119220361181134,"SIDE","TEAM","2022 - OPPONENT 7 - HOME","GK",-17.17,2.8,0.926831383300292,NA
"102",102,3,25,"GOAL",6.7,37.96,"PLAYER 9","AWAY","OPENPLAY","LEFTFOOT","NONDOMINANT","OPPONENT 2","WINCHESTER","CROSSINAIR","RIGHT","MIDDLE","COUNTER",2022,1,0.389552289199768,"SIDE","TEAM","2022 - OPPONENT 2 - AWAY","GK",-7.39,2.86,0.914015061703857,NA
"103",103,3,14,"BLOCKED",16.5,36.09,"PLAYER 9","HOME","OPENPLAY","RIGHTFOOT","DOMINANT","OPPONENT 8","KERN","SHORT PASS","LEFT","OFFENSIVE","COUNTER",2022,0,0.123708406430153,"SIDE","TEAM","2022 - OPPONENT 8 - HOME","GK",NA,NA,0.956251648380467,NA
"104",104,3,57,"SAVED",111.36,51.16,"PLAYER 16","AWAY","OPENPLAY","RIGHTFOOT","","OPPONENT 2","","SHORT PASS","MIDDLE","MIDDLE","COUNTER",2022,0,0.103086669631824,"MIDDLE","OPPONENT","2022 - OPPONENT 2 - AWAY","GK",4.2,6.65,0.01,NA
"105",105,3,80,"GOAL",107.58,39.85,"PLAYER 16","AWAY","PENALTYKICK","RIGHTFOOT","","OPPONENT 4","","","LEFT","OFFENSIVE","PENALTY",2022,1,0.184584915361526,"SIDE","OPPONENT","2022 - OPPONENT 4 - AWAY","GK",8.13,3.38,0.01,NA
